X1,X2,And
0,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
1,0,0
0,0,0
0,1,0
1,1,1
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,1,0
1,0,0
1,0,0
1,0,0
1,0,0
0,1,0
1,1,1
1,1,1
1,0,0
1,1,1
1,0,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,0
0,1,0
1,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
1,1,1
1,1,1
0,1,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,1,1
0,0,0
0,1,0
0,0,0
1,0,0
1,1,1
0,1,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
1,1,1
1,0,0
1,0,0
1,1,1
0,0,0
0,1,0
1,1,1
0,0,0
0,1,0
1,0,0
0,0,0
0,1,0
1,1,1
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
1,0,0
0,0,0
0,0,0
0,1,0
1,1,1
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
1,1,1
0,1,0
